"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"6391","Hot Lap League: Deluxe Edition","Aug 23, 2022","$1.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ultimate Studio","Ultimate Studio"
"6392","RETSNOM","Jul 23, 2015","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Somi","Zero Rock Entertainment"
"6394","SOMNI","Oct 9, 2021","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Antler","Antler"
"6396","Fossilfuel","Aug 20, 2021","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","DangerousBob Studio LLC","DangerousBob Studio LLC"
"6401","Panther VR","Jun 16, 2020","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wolfdog Interactive","Wolfdog Interactive"
"6402","猎人物语","Oct 11, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","洋葱头科技","洋葱头科技"
"6404","One Last Day","Apr 28, 2015","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bloodwolf Studio","Bloodwolf Studio"
"6405","Toy Soldiers: HD","Oct 21, 2021","$29.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Signal Studios, Outer Heaven, Eden Industries","Accelerate Games"
"6407","JCB Pioneer: Mars","Sep 1, 2017","$24.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Atomicom","GamesCo"
"6409","Withering Rooms","Oct 4, 2022","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Moonless Formless","Moonless Formless"
"6410","Space Otter Charlie","Mar 18, 2021","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wayward Distractions","The Quantum Astrophysicists Guild"
"6411","ARK and ADE","Mar 2, 2023","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Castello Inc","Beyond Frames"
"6412","Tiny Dangerous Dungeons","Mar 1, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Adventure Islands","Adventure Islands"
"6414","Philophobia: The Fear of Love","Feb 10, 2020","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tim Ruswick","Tim Ruswick"
"6415","Polyroll","Oct 29, 2019","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Spicy Gyro Games, Shiny Dolphin Games LLC","HOF Studios"
"6416","Q.U.B.E. 10th Anniversary","Sep 14, 2022","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Toxic Games","Toxic Games"
"6418","Anomalous","Jan 11, 2022","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Byron Dunwoody","Byron Dunwoody"
"6419","Sydney Hunter and the Curse of the Mayan","Sep 11, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CollectorVision Games","CollectorVision Games"
"6420","OCO","Aug 11, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SPECTRUM48","SPECTRUM48"
"6421","Ballz: Farm","Jan 23, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","UNIOCS","UNIOCS"
"6422","Cyclo Chambers","Feb 21, 2023","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hobofeller","Hobofeller"
"6423","Potata: fairy flower","Dec 17, 2019","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Potata Company","Potata Company"
"6426","TITAN SLAYER","Apr 27, 2017","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","COLOPL, Inc.","COLOPL, Inc."
"6427","Property","Feb 2, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kimi Karri","Kimi Karri"
"6428","Chrono Survival","Dec 9, 2022","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Petushock Production","Petushock Production"
"6429","Diadra Empty","Jul 21, 2015","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Frozen Orb","Rockin' Android"
"6430","Dead End Job","Dec 13, 2019","$16.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ant Workshop Ltd","Headup Publishing"
"6431","Zombie Desperation","Mar 22, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ominous Entertainment","Ominous Entertainment"
"6432","End State","Dec 1, 2022","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Finger Squad","Finger Squad"
"6433","Anime Tanks Arena","Oct 18, 2019","$0.29","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Neko Cloud","Neko Cloud"
"6437","Dungeons & Darkness","Sep 29, 2016","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Yamiuchi Project","PLAYISM"
"6438","CDF Starfighter VR","Feb 4, 2020","$29.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MadAboutGamesStudios","MadAboutGamesStudios"
"6441","Armor Clash II","Apr 3, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Windforce","Windforce"
"6442","Tamarin","Sep 10, 2020","$29.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Chameleon Games","Chameleon Games"
"6446","BroodStar","Jun 15, 2022","$8.79","N/A (N/A)","0 .. 20,000","00:00 (00:00)","David Schmidthoffer, Mae Livingston","self-published"
"6447","Breakers Collection","Jan 11, 2023","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","QUByte Interactive","QUByte Interactive"
"6448","Astro Duel","Feb 22, 2016","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Rusty Moyher","Wild Rooster"
"6450","PEE WAR！","Aug 3, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LBR games","LBR games"
"6451","The Rat Plague","Nov 14, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","GouHong Studio","BD Games"
"6452","PAWARUMI","Jan 30, 2018","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Manufacture 43","Manufacture 43"
"6453","NOISZ","Aug 31, 2018","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Anarch Entertainment","Anarch Entertainment"
"6454","Treasures of the Aegean","Nov 11, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Undercoders","Numskull Games"
"6455","Pill Baby","Mar 25, 2022","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kayabros","Kayabros"
"6456","Mighty Switch Force! Collection","Jul 25, 2019","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","WayForward","WayForward"
"6457","长安夜明","Nov 10, 2021","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","星辰重工","旅人计划"
"6458","TechBeat Heart","Sep 13, 2021","$0.79","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Lost Machine Games","Lost Machine Games"
"6459","Free Running","Dec 3, 2019","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Rebellion","Rebellion"
"6460","Endless Furry Killer 3D","Jan 25, 2021","$0.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tegridy Made Games","Tegridy Made Games"
"6462","The WILDS","Feb 15, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Gluten Free Games","Gluten Free Games"
"6463","Marshmallow Melee","Oct 6, 2017","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","TriHelix LLC","TriHelix LLC"
"6464","Apparition","Oct 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MrCiastku","No Gravity Games"
"6465","Ven VR Adventure","Jan 28, 2021","$29.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Monologic Games","Monologic Games"
"6467","Osman Gazi","Sep 18, 2020","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","UMURO","UMURO"
"6468","Fueled Up","Oct 13, 2022","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Fireline Games","Fireline Games, Gamera Games"
"6471","Ultrawings 2","Oct 27, 2022","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bit Planet Games, LLC","Bit Planet Games, LLC"
"6474","Song of the Myrne: What Lies Beneath","Jan 13, 2015","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Beldarak Games","Beldarak Games"
"6475","Amber Tail Adventure","Apr 5, 2017","$0.28","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Xyak-Xyak","Xyak-Xyak"
"6476","Inexistence Rebirth","May 22, 2020","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jonathan Brassaud","Jonathan Brassaud"
"6477","Jack Axe","Oct 6, 2021","$4.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Keybol Games","Neon Doctrine, Another Indie"
"6479","Mount Wingsuit","Aug 25, 2016","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ninja Whale Studios","Ninja Whale Studios"
"6481","恶魔迷宫 2 |Evil Maze 2 | 惡魔迷宮 2","Mar 8, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ZOV GAME STUDIO","ZOV GAME STUDIO"
"6483","Orange Moon","Sep 27, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Betelgeuse Zero","Betelgeuse Zero"
"6485","Carrier Command 2 VR","Aug 10, 2021","N/A","N/A (N/A)","0 .. 20,000","00:54 (00:18)","Geometa","Microprose Software"
"6486","VOIDCRISIS","Oct 26, 2022","$29.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","HEXADRIVE Inc.","HEXADRIVE Inc."
"6487","Blame Him","Jun 2, 2019","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Chilla's Art","Chilla's Art"
"6488","Sigma Impact","Aug 11, 2021","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","John Bishop","John Bishop"
"6489","Chicken Bomb","Jul 29, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","GoesSoft","GoesSoft"
"6490","TAYAL","Oct 10, 2018","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SHIBAPOWER","SHIBAPOWER"
"6491","Overhaul","Oct 14, 2022","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bread Panda","Bread Panda"
"6492","Crawlspace","Nov 3, 2021","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kiririn","Kiririn"
"6493","Song Beater: Quite My Tempo!","Oct 18, 2019","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Playito.com","Playito.com"
"6494","Fencing Girl","Jan 12, 2022","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SeaXY","SeaXY"
"6497","STAB STAB STAB!","Apr 2, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sbug Games","Sbug Games"
"6498","Save daddy trump 2: The Final Triumph","Jan 5, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tero Lunkka, Valkeala Software","Tero Lunkka"
"6499","Lila’s Sky Ark","Apr 21, 2022","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Monolith of Minds","Graffiti Games"
"6501","Seals of the Bygone","Mar 13, 2020","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","rologfos","rologfos"
"6502","CYBERHUNK","Sep 24, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Birch Tree Games","Birch Tree Games"
"6504","Taekwondo Grand Prix","Oct 9, 2018","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hello There Games","Hello There Games"
"6506","Overchunked","Apr 12, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ATOMIC BREATH, FraZack","ATOMIC BREATH, FraZack"
"6507","Z-Race","Mar 2, 2021","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","XOCUS","XOCUS"
"6508","Imp of the Sun","Mar 24, 2022","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sunwolf Entertainment","Fireshine Games"
"6509","Mindball Play","Jul 11, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mentalytics Team","Mentalytics AB"
"6510","ETERNAL BLOOD","Feb 18, 2021","$1.69","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bloody Pixel","Bloody Pixel"
"6511","Alone in the Dark 2","Sep 25, 1994","$3.74","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Infogrames","THQ Nordic"
"6512","Time Carnage VR","Apr 10, 2018","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wales Interactive","Wales Interactive"
"6513","AFTERGRINDER","Jul 18, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Grave Danger Games","Grave Danger Games"
"6514","Rift Loopers","Sep 22, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Monster Tooth Studios","Monster Tooth Studios"
"6517","ELMIA","Dec 8, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","AECRNIA","AnelaGamesStudio"
"6519","Immortal Legacy: The Jade Cipher[VR]","Mar 19, 2021","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Viva Games","Viva Games"
"6520","DRAMA","Aug 6, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SHARED DREAMS STUDIOS","SHARED DREAMS STUDIOS"
"6521","Survival Nation","Feb 2, 2023","$23.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wenkly Studio Sp. z o.o.","Wenkly Studio Sp. z o.o."
"6524","Hostile Planet: Survival","May 12, 2022","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Aliens Developers","Aliens Developers"
"6527","Nemezis: Mysterious Journey III","Jul 8, 2021","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Detalion Games S.A.","Detalion Games S.A., Movie Games S.A."
"6528","Fishermurs","Jun 13, 2017","$0.28","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Reward Hunters","Valkyrie Initiative"
"6529","Shiny The Firefly","May 16, 2014","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Stage Clear Studios","Headup Publishing"
"6532","Sophstar","Feb 18, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Banana Bytes","Banana Bytes"
"6533","Cosmo's Quickstop","Aug 18, 2021","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Big Sir Games","Big Sir Games"
"6534","Sockventure","May 11, 2021","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nighthouse Games, Adventure Toe Studios","Versus Evil"
"6535","Last Regiment","Jun 15, 2020","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Boomzap Inc","Boomzap Inc"
"6536","Re.poly","Dec 13, 2019","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hinkfoot Studios","Hinkfoot Studios"
"6537","Whisperwind","Jan 17, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Punx Studios","Punx Studios"
"6538","ABYSS CRAWLERS plus　迷宮クロウラ＋","Mar 9, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","YANEURAGAMES","YANEURAGAMES"
"6539","JEF","Feb 28, 2020","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jeremy Couillard","Jeremy Couillard"
"6540","Earth's Shadow","Jan 31, 2023","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","WRF Studios","WRF Studios"
"6541","Neon Tail","Oct 4, 2019","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Fei, Leo, Yang","Rocket Juice Games"
"6542","Colossus Down","Dec 16, 2020","$17.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mango Protocol","Mango Protocol"
"6543","TENGAI","Jun 21, 2020","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CITY CONNECTION, Zerodiv","CITY CONNECTION"
"6544","Late For Work","Jul 12, 2017","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Salmi Games","Salmi Games"
"6545","SAMUDRA","Sep 28, 2021","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Khayalan Arts","Khayalan Arts, Untold Tales"
"6546","Frontline: Panzer Blitzkrieg!","Mar 6, 2020","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Frontline: Games Series","Frontline: Games Series"
"6547","Mess Adventures 2","Jan 25, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Marvelous Games","Marvelous Games"
"6548","Melon Simulator","Jan 1, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Delirious & Co.","Delirious & Co."
"6549","Barbearian","Aug 14, 2018","$6.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kimmo Lahtinen","Kimmo Factor Oy"
"6550","Uprising: Join or Die","Oct 17, 1997","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cyclone Studios","Ziggurat"
"6553","Take That","Aug 20, 2020","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","S.Y. GAMES","S.Y. GAMES, plusDSgames"
"6558","Earthworm Jim 2","Apr 30, 1996","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Shiny Entertainment","Interplay Inc."
"6564","ALONE?","Oct 10, 2016","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Deceptive Games","Deceptive Games"
"6566","Swaps and Traps","Feb 12, 2018","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","TeamTrap","TeamTrap"
"6567","Grand Brix Shooter","Aug 29, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Intragames","Intragames"
"6568","Super Glitter Rush","Jun 30, 2021","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","tiny cactus studio, Tsuyomi","tiny cactus studio"
"6569","Swordship","Dec 5, 2022","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Digital Kingdom","Thunderful Publishing"
"6570","Legendary Knight - 傳奇騎士","Feb 28, 2020","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Oki Aki","Oki Game Lab"
"6571","東方逆妙乱 ~ Ephemeral Unnatural Balance","Aug 16, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ephemeral Entertainment","Ephemeral Entertainment"
"6572","Piczle Cross Adventure","Apr 16, 2020","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Score Studios LLC","Plug In Digital"
"6573","Yissa Deep Realms","Nov 23, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","PixelGreeds","PixelGreeds"
"6574","Towaga: Among Shadows","Jul 14, 2020","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sunnyside Games","Noodlecake"
"6576","RaidTitans","Feb 6, 2020","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","RainbowStudio","RainbowStudio"
"6577","Trianga's Project: Battle Splash 2.0","Dec 18, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dranya Studio","Dranya Studio"
"6578","NotCoD","May 19, 2016","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","NotGames","NotGames"
"6579","Hidden Dragon: Legend","Jan 22, 2018","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MegaFun Games Ltd.","Oasis Games"
"6582","Super Destronaut DX","Jul 13, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Petite Games","Ratalaika Games S.L."
"6583","Nurose","Jan 7, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Orongto","Orongto"
"6585","Project Demigod","Oct 8, 2021","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Omnifarious Studios LLC","Omnifarious Studios LLC"
"6586","Witch and Hero(魔女と勇者)","Apr 21, 2016","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","FK Digital, Flyhigh Works","Flyhigh Works, CIRCLE Entertainment"
"6587","Run Rabbit Run","Mar 31, 2016","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","FLAT12","Absolutist Ltd."
"6588","Ezaron Defense","Oct 22, 2020","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","RVL Games","RVL Games"
"6589","SoulHunt","Dec 23, 2016","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","WinterCell Studios","WinterCell Studios"
"6591","Lazaretto","May 19, 2017","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Iron Monkey","D'Avekki Studios Ltd"
"6592","FUTURE GPX CYBER FORMULA SIN VIER","Dec 11, 2018","$29.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","PROJECT YNP","PROJECT YNP"
"6594","Heat Guardian: Re-Frozen Edition","May 10, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Denis Rudoy","K Publishing"
"6595","Kill The Plumber","Dec 31, 2015","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Keybol, Iskander Aminov","Tekitown"
"6598","Arkanoid - Eternal Battle","Oct 27, 2022","$29.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Pastagames","Microids"
"6600","Warfare 1944","Jul 7, 2020","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MicroProse Software","MicroProse Software"
"6601","Divergence: Online","Jan 6, 2016","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Stained Glass Llama","None"
"6608","The Quarter Game","Dec 8, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LAME Dimension, Flying Pudding Studios","LAME Dimension"
"6609","Juro Janosik","Oct 25, 2021","$10.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Peter Jurkovský","Black Deer Games"
"6610","Self-Delusion","Aug 17, 2022","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","RollingBread","RollingBreadGames"
"6611","Kamikaze Veggies","Jul 7, 2022","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Red Limb Studio","Red Limb Studio"
"6612","Wraithslayer","May 7, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Devin Cole, Sean Young","SmashGames"
"6613","Ginga Force","Sep 24, 2020","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Qute","Rising Star Games"
"6614","Knights of the Temple: Infernal Crusade","Apr 8, 2004","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Starbreeze Studios","bitComposer Interactive GmbH"
"6615","ココロクローバー パート１/Kokoro Clover Part1","Jul 4, 2020","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ひこてる","ひこてる"
"6616","Astoria: The Holders of Power Saga","Aug 2, 2017","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Golden Unicorn Gaming Inc","Golden Unicorn Gaming Inc"
"6617","BANZAI ROYALE","Jul 27, 2018","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Brimstone","Brimstone"
"6618","ADVERSE","Jan 22, 2021","$0.59","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Loneminded","Loneminded"
"6620","NAMCO MUSEUM ARCHIVES Vol 2","Jun 17, 2020","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","M2 Co.,LTD","BANDAI NAMCO Entertainment"
"6622","Cave Digger 2: Dig Harder","Sep 8, 2022","$24.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","VRKiwi","VRKiwi"
"6624","A House of Thieves","Jan 21, 2021","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kucki","Kucki"
"6625","Aeolis Tournament","Jul 16, 2020","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Beyond Fun Studio","Beyond Fun Studio, NA Publishing Inc"
"6628","Dragon Extinction","Oct 16, 2020","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Xefier Games Inc.","Xefier Games Inc."
"6630","CyberThreat","Aug 18, 2016","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Enigmatic","Enigmatic, Leading Role"
"6631","Fat Dude Simulator","May 22, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","BiscuitGames","BiscuitGames"
"6633","Massive","Aug 5, 2020","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Rootify","Rootify"
"6640","GUNBIRD","May 10, 2020","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CITY CONNECTION, Zerodiv","CITY CONNECTION"
"6641","Robbie Swifthand and the Orb of Mysteries","Sep 20, 2018","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Pixel Reign","Pixel Reign, KPL"
"6642","Ding Dong VR","Aug 3, 2018","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Adamvision Studios","Adamvision Studios"
"6643","Counter Fight: Samurai Edition","Jun 7, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tricol Co., Ltd.","Tricol Co., Ltd."
"6644","Magical Squash","Nov 10, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","RISING GAME","RISING GAME"
"6645","Wave Break","Jun 11, 2021","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Funktronic Labs","Funktronic Labs"
"6646","Clunky Hero","Jan 25, 2023","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Chaosmonger Studio","Chaosmonger Studio"
"6647","Federation77","Oct 6, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MIROWIN","MIROWIN"
"6650","Anima: Gate of Memories - The Nameless Chronicles","Jun 19, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Anima Project","BadLand Publishing"
"6652","Gun Crazy","Nov 12, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ritual Games","GrabTheGames"
"6656","Starway Fleet","Aug 29, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","StormCube Games","StormCube Games"
"6657","琉隐","Dec 30, 2021","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","kingna studio","kingna studio"
"6658","Remoteness","Sep 23, 2022","$24.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","KR Games","KR Games"
"6660","Into The Haze","Feb 6, 2021","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MSOFT","MSOFT"
"6662","Wild Wolf","Mar 4, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Altai Game Studio","Altai Game Studio"
"6663","Killers and Thieves","May 23, 2017","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Alex Thomas","Stoic"
"6664","FAST & FURIOUS CROSSROADS","Aug 6, 2020","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Slightly Mad Studios","BANDAI NAMCO Entertainment Europe"
"6667","Space Slurpies","Apr 8, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Starcade Arcade LLC","Starcade Arcade LLC"
"6668","Lance A Lot: Enhanced Edition","Sep 28, 2017","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Brimstone","Brimstone"
"6669","Dashing Fire","Nov 12, 2020","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Blackthornprod","Blackthornprod"
"6670","NAIR","Sep 14, 2021","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Teridax","Teridax"
