Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text,dev_pub_relation,accion,aventura,deportes,early,estrategia,free,mmorpg,rpg,simulacion,indie,Release year,dev_code
PUSSY 6,2022-08-26,0.27,"0 .. 20,000",Cyber Keks,Cyber Keks,0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,0,0,0,0,1,1,2022.0,40
Hentai Cheerleader,2023-03-02,0.99,"0 .. 20,000",Cyber Keks,Cyber Keks,0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,0,0,0,0,0,1,2023.0,40
Winter Wolves Classic Games Collection,2017-10-25,4.99,"0 .. 20,000",Winter Wolves,Winter Wolves,0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,1,0,0,0,1,0,2017.0,47
Draw the Road,2023-02-20,0.39,"0 .. 20,000","Atomic Fabrik, Cristian Manolachi","Atomic Fabrik, Cristian Manolachi",0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,0,0,0,0,1,1,2023.0,16
Simple Sailing,2018-05-11,0.99,"0 .. 20,000",Racing Bros,ANPA.US,0.00E+00,20000.0,0,20.0K,distinto,0,0,1,0,0,0,0,0,1,1,2018.0,10
Crazy Edition of Stunts,2022-10-04,0.39,"0 .. 20,000","Atomic Fabrik, Cristian Manolachi","Atomic Fabrik, Cristian Manolachi",0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,0,0,0,0,1,1,2022.0,16
Flex Apocalypse Racing,2019-01-01,0.99,"0 .. 20,000","Nikita ""Ghost_RUS""",Ghost_RUS Games,0.00E+00,20000.0,0,20.0K,distinto,0,0,1,0,0,0,0,0,1,1,2019.0,24
clutchball,2018-12-19,2.99,"0 .. 20,000",Sokpop Collective,Sokpop Collective,0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,0,0,0,0,0,1,2018.0,28
Pipo Park,2020-11-25,2.99,"0 .. 20,000",Sokpop Collective,Sokpop Collective,0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,0,0,0,0,0,1,2020.0,28
Basketball Club Story,2023-04-09,8.09,"0 .. 20,000","Kairosoft Co.,Ltd","Kairosoft Co.,Ltd",0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,1,0,0,0,1,1,2023.0,52
Stunts Contest Super Bike,2022-10-08,29.99,"0 .. 20,000","Atomic Fabrik, Cristian Manolachi","Atomic Fabrik, Cristian Manolachi",0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,0,0,0,0,1,1,2022.0,16
Coins Collector Simulator,2022-02-04,9.99,"0 .. 20,000","Atomic Fabrik, Cristian Manolachi","Atomic Fabrik, Cristian Manolachi",0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,1,0,0,0,1,0,2022.0,16
Ambulance Chauffeur Simulator,2022-08-25,3.99,"0 .. 20,000","Atomic Fabrik, Cristian Manolachi","Atomic Fabrik, Cristian Manolachi",0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,1,0,0,0,1,1,2022.0,16
Eastern Europe Bus Sim,2023-01-27,3.99,"0 .. 20,000","Atomic Fabrik, Cristian Manolachi","Atomic Fabrik, Cristian Manolachi",0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,0,0,0,0,1,1,2023.0,16
Fix My Legs Doc,2022-10-03,10.99,"0 .. 20,000","Atomic Fabrik, Cristian Manolachi","Atomic Fabrik, Cristian Manolachi",0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,0,0,0,0,1,1,2022.0,16
disc party,2020-04-30,2.99,"0 .. 20,000",Sokpop Collective,Sokpop Collective,0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,0,0,0,0,0,0,2020.0,28
City Bus Driver Simulator,2022-09-15,0.27,"0 .. 20,000","Atomic Fabrik, Cristian Manolachi","Atomic Fabrik, Cristian Manolachi",0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,0,0,0,0,1,1,2022.0,16
Police Radar,2022-09-02,1.09,"0 .. 20,000","Atomic Fabrik, Cristian Manolachi","Atomic Fabrik, Cristian Manolachi",0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,0,0,0,0,1,1,2022.0,16
Darts and Friends,2018-04-09,0.27,"0 .. 20,000",Racing Bros,ANPA.US,0.00E+00,20000.0,0,20.0K,distinto,0,0,1,1,0,0,0,0,1,1,2018.0,10
Tennis Club Story,2022-11-27,8.99,"0 .. 20,000","Kairosoft Co.,Ltd","Kairosoft Co.,Ltd",0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,1,0,0,0,1,1,2022.0,52
Too White Basketball,2019-06-10,0.99,"0 .. 20,000",CSM,W. T. B.,0.00E+00,20000.0,0,20.0K,distinto,0,0,1,0,0,0,0,0,0,1,2019.0,35
Hamster All-Stars,2021-02-28,2.99,"0 .. 20,000",Sokpop Collective,Sokpop Collective,0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,0,0,0,0,1,0,2021.0,28
Russian Prison Sport: OCHKO,2018-04-29,1.99,"0 .. 20,000",CSM,W.T.B.,0.00E+00,20000.0,0,20.0K,distinto,0,0,1,0,0,0,0,0,0,1,2018.0,35
Eastern Europe Truck Simulator,2022-04-21,0.49,"0 .. 20,000","Atomic Fabrik, Cristian Manolachi","Atomic Fabrik, Cristian Manolachi",0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,1,0,0,0,1,1,2022.0,16
Mountain Offroad Simulator,2022-07-18,29.99,"0 .. 20,000","Atomic Fabrik, Cristian Manolachi","Atomic Fabrik, Cristian Manolachi",0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,0,0,0,0,1,1,2022.0,16
Extreme Truck Stunts,2022-10-21,10.99,"0 .. 20,000","Atomic Fabrik, Cristian Manolachi","Atomic Fabrik, Cristian Manolachi",0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,0,0,0,0,1,1,2022.0,16
Archery Blast,2018-04-13,0.28,"0 .. 20,000",RewindApp,RewindApp,0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,0,0,0,0,0,1,2018.0,11
Pupper park,2019-11-08,2.99,"0 .. 20,000",Sokpop Collective,Sokpop Collective,0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,0,0,0,0,1,1,2019.0,28
Shiny Ski Resort,2022-11-27,8.99,"0 .. 20,000","Kairosoft Co.,Ltd","Kairosoft Co.,Ltd",0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,1,0,0,0,1,1,2022.0,52
capy hoky,2019-01-18,2.99,"0 .. 20,000",Sokpop Collective,Sokpop Collective,0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,0,0,0,0,0,1,2019.0,28
Home Run High,2022-10-10,8.99,"0 .. 20,000","Kairosoft Co.,Ltd","Kairosoft Co.,Ltd",0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,1,0,0,0,1,1,2022.0,52
Grand Prix Story,2022-10-10,8.99,"0 .. 20,000","Kairosoft Co.,Ltd","Kairosoft Co.,Ltd",0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,1,0,0,0,1,1,2022.0,52
Hunter,2019-01-28,0.28,"0 .. 20,000",RewindApp,RewindApp,0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,0,0,0,0,1,0,2019.0,11
Boxing Gym Story,2023-02-12,8.99,"0 .. 20,000","Kairosoft Co.,Ltd","Kairosoft Co.,Ltd",0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,1,0,0,0,1,1,2023.0,52
Football Russian 20!8,2018-02-13,1.99,"0 .. 20,000",Laush Dmitriy Sergeevich,Laush Studio,0.00E+00,20000.0,0,20.0K,distinto,0,0,1,0,0,0,0,0,1,1,2018.0,22
Monster Energy Supercross - The Official Videogame 6,2023-03-09,34.99,"0 .. 20,000",Milestone S.r.l.,Milestone S.r.l.,0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,0,0,0,0,0,0,2023.0,53
Pocket Stables,2022-09-25,8.99,"0 .. 20,000","Kairosoft Co.,Ltd","Kairosoft Co.,Ltd",0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,1,0,0,0,1,1,2022.0,52
SBK22,2022-09-15,39.99,"0 .. 20,000",Milestone S.r.l.,Milestone S.r.l.,0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,0,0,0,0,1,0,2022.0,53
Pocket League Story,2022-08-07,8.99,"0 .. 20,000","Kairosoft Co.,Ltd","Kairosoft Co.,Ltd",0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,1,0,0,0,1,1,2022.0,52
Monster Energy Supercross - The Official Videogame 5,2022-03-17,39.99,"0 .. 20,000",Milestone S.r.l.,Milestone S.r.l.,0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,0,0,0,0,1,0,2022.0,53
MXGP 2021 - The Official Motocross Videogame,2021-11-30,49.99,"0 .. 20,000",Milestone S.r.l.,Milestone S.r.l.,0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,0,0,0,0,1,0,2021.0,53
MXGP 2020 - The Official Motocross Videogame,2020-12-16,39.99,"0 .. 20,000",Milestone S.r.l.,Milestone S.r.l.,0.00E+00,20000.0,0,20.0K,igual,0,0,1,0,0,0,0,0,1,0,2020.0,53
My First Music Workshop,2018-07-28,0.99,"0 .. 20,000",Racing Bros,ANPA.US,0.00E+00,20000.0,0,20.0K,distinto,0,0,0,1,0,0,0,0,1,1,2018.0,10
ICE AGENT,2018-10-09,0.27,"0 .. 20,000",Racing Bros,ANPA.US,0.00E+00,20000.0,0,20.0K,distinto,0,0,0,1,0,0,0,0,1,1,2018.0,10
BrainPower,2018-04-02,0.99,"0 .. 20,000",Racing Bros,ANPA.US,0.00E+00,20000.0,0,20.0K,distinto,0,0,0,1,0,0,0,0,0,1,2018.0,10
Drawing Path,2019-07-11,0.28,"0 .. 20,000",RewindApp,RewindApp,0.00E+00,20000.0,0,20.0K,igual,0,0,0,1,0,0,0,0,0,1,2019.0,11
Robot Tormod,2022-12-20,9.99,"0 .. 20,000",Dnovel,Dnovel,0.00E+00,20000.0,0,20.0K,igual,0,0,0,1,0,0,0,0,0,0,2022.0,19
Super Pig,2019-07-22,0.28,"0 .. 20,000",RewindApp,RewindApp,0.00E+00,20000.0,0,20.0K,igual,0,0,0,1,0,0,0,0,0,1,2019.0,11
My Golf,2018-04-26,0.99,"0 .. 20,000",Racing Bros,ANPA.US,0.00E+00,20000.0,0,20.0K,distinto,0,0,0,1,0,0,0,0,0,1,2018.0,10
My Bike,2019-08-16,0.28,"0 .. 20,000",RewindApp,RewindApp,0.00E+00,20000.0,0,20.0K,igual,0,0,0,1,0,0,0,0,1,1,2019.0,11
NOBUNAGA'S AMBITION: Sphere of Influence - Ascension,2016-03-23,59.99,"1,000,000 .. 2,000,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",1.00E+06,2000000.0,1.0M,2.0M,igual,0,0,0,0,1,0,0,0,0,0,2016.0,5
Romance of the Three Kingdoms X with Power Up Kit,2017-12-05,29.99,"100,000 .. 200,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",1.00E+05,200000.0,100.0K,200.0K,igual,0,0,0,0,1,0,0,0,0,0,2017.0,5
NOBUNAGA'S AMBITION: Souzou,2014-08-01,12.49,"100,000 .. 200,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",1.00E+05,200000.0,100.0K,200.0K,igual,0,0,0,0,1,0,0,0,0,0,2014.0,5
Romance of the Three Kingdoms XI with Power Up Kit,2018-01-16,39.99,"100,000 .. 200,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",1.00E+05,200000.0,100.0K,200.0K,igual,0,0,0,0,1,0,0,0,0,0,2018.0,5
NOBUNAGA'S AMBITION: Sphere of Influence,2015-09-01,59.99,"50,000 .. 100,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",5.00E+04,100000.0,50.0K,100.0K,igual,0,0,0,0,1,0,0,0,0,0,2015.0,5
NOBUNAGA'S AMBITION: Kakushin with Power Up Kit,2015-06-25,54.99,"50,000 .. 100,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",5.00E+04,100000.0,50.0K,100.0K,igual,0,0,0,0,1,0,0,0,0,0,2015.0,5
Romance of the Three Kingdoms IX with Power Up Kit,2017-10-17,29.99,"50,000 .. 100,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",5.00E+04,100000.0,50.0K,100.0K,igual,0,0,0,0,1,0,0,0,0,0,2017.0,5
pyramida,2020-08-03,2.99,"50,000 .. 100,000",Sokpop Collective,Sokpop Collective,5.00E+04,100000.0,50.0K,100.0K,igual,0,0,0,0,1,0,0,0,0,1,2020.0,28
Gain Ground,2010-06-01,0.99,"50,000 .. 100,000",SEGA,SEGA,5.00E+04,100000.0,50.0K,100.0K,igual,0,0,0,0,1,0,0,0,0,0,2010.0,7
NOBUNAGA'S AMBITION: Tenshouki with Power Up Kit HD Version,2015-11-11,54.99,"50,000 .. 100,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",5.00E+04,100000.0,50.0K,100.0K,igual,0,0,0,0,1,0,0,0,0,0,2015.0,5
Civil War: 1861,2017-02-01,9.99,"50,000 .. 100,000",HexWar Games,HexWar Games,5.00E+04,100000.0,50.0K,100.0K,igual,0,0,0,0,1,0,0,0,0,0,2017.0,54
Tank Battle: 1944,2016-03-01,9.99,"50,000 .. 100,000",HexWar Games,HexWar Games,5.00E+04,100000.0,50.0K,100.0K,igual,0,0,0,0,1,0,0,0,0,0,2016.0,54
Defence to death,2017-05-11,0.59,"20,000 .. 50,000",Laush Dmitriy Sergeevich,Laush Studio,2.00E+04,50000.0,20.0K,50.0K,distinto,0,0,0,0,1,0,0,0,0,1,2017.0,22
NOBUNAGA'S AMBITION: Tendou with Power Up Kit,2015-06-25,54.99,"20,000 .. 50,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,0,2015.0,5
Romance of the Three Kingdoms XII with Power Up Kit,2018-01-16,39.99,"20,000 .. 50,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,0,2018.0,5
Love In Drawing,2019-01-08,0.28,"20,000 .. 50,000",RewindApp,RewindApp,2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,1,2019.0,11
Hentai Temple,2018-08-03,0.28,"20,000 .. 50,000",RewindApp,RewindApp,2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,1,2018.0,11
Dungeon Village,2022-03-27,8.99,"20,000 .. 50,000","Kairosoft Co.,Ltd","Kairosoft Co.,Ltd",2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,1,1,1,2022.0,52
Game Dev Story,2022-03-27,8.99,"20,000 .. 50,000","Kairosoft Co.,Ltd","Kairosoft Co.,Ltd",2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,1,1,2022.0,52
Voice of Cards: The Isle Dragon Roars,2021-10-28,29.99,"20,000 .. 50,000",Square Enix,Square Enix,2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,1,0,0,2021.0,9
Aoki Ookami to Shiroki Mejika,2016-12-13,12.99,"20,000 .. 50,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,0,2016.0,5
Ishin no Arashi,2017-03-21,12.99,"20,000 .. 50,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,0,2017.0,5
Obscurity,2018-05-04,0.28,"20,000 .. 50,000",RewindApp,RewindApp,2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,1,2018.0,11
Genghis Khan,2017-01-24,12.99,"20,000 .. 50,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,0,2017.0,5
NOBUNAGA'S AMBITION: Zenkokuban,2017-01-24,12.99,"20,000 .. 50,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,0,2017.0,5
NOBUNAGA'S AMBITION,2016-12-13,12.99,"20,000 .. 50,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,0,2016.0,5
Professor Watts Word Search: Space Voyage,2018-06-25,4.99,"20,000 .. 50,000",Ripknot Systems,Ripknot Systems,2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,1,2018.0,23
NOBUNAGA'S AMBITION: Haouden with Power Up Kit,2017-06-27,19.99,"20,000 .. 50,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,0,2017.0,5
Romance of the Three Kingdoms III,2017-02-21,19.99,"20,000 .. 50,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,0,2017.0,5
NOBUNAGA'S AMBITION: Bushou Fuunroku,2017-03-21,19.99,"20,000 .. 50,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,0,2017.0,5
Genghis Khan II: Clan of the Gray Wolf,2017-06-27,12.99,"20,000 .. 50,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,0,2017.0,5
Professor Watts Word Search: Pirates Life,2018-06-28,4.99,"20,000 .. 50,000",Ripknot Systems,Ripknot Systems,2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,1,2018.0,23
Dr. Robotnik’s Mean Bean Machine,2010-09-13,4.99,"20,000 .. 50,000",SEGA,SEGA,2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,0,2010.0,7
Civil War: 1864,2017-10-06,9.99,"20,000 .. 50,000",HexWar Games,HexWar Games,2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,0,2017.0,54
Romance of the Three Kingdoms VI with Power Up Kit,2017-06-27,19.99,"20,000 .. 50,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,0,2017.0,5
Romance of the Three Kingdoms,2016-12-13,12.99,"20,000 .. 50,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,0,2016.0,5
Peninsular War Battles,2017-09-01,9.99,"20,000 .. 50,000",HexWar Games,HexWar Games,2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,0,2017.0,54
Tank Battle: Blitzkrieg,2016-12-07,9.99,"20,000 .. 50,000",HexWar Games,HexWar Games,2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,0,2016.0,54
Romance of the Three Kingdoms IV with Power Up Kit,2017-03-21,19.99,"20,000 .. 50,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,0,2017.0,5
Romance of the Three Kingdoms II,2017-01-24,12.99,"20,000 .. 50,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,0,2017.0,5
Bandit Kings of Ancient China,2017-02-21,12.99,"20,000 .. 50,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,0,2017.0,5
Tank Battle: East Front,2017-03-31,9.99,"20,000 .. 50,000",HexWar Games,HexWar Games,2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,0,2017.0,54
Civil War: 1862,2016-10-06,9.99,"20,000 .. 50,000",HexWar Games,HexWar Games,2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,0,2016.0,54
Tank Battle: North Africa,2016-07-12,9.99,"20,000 .. 50,000",HexWar Games,HexWar Games,2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,0,2016.0,54
Tile Tale,2022-06-18,4.99,"20,000 .. 50,000",Sokpop Collective,Sokpop Collective,2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,1,2022.0,28
Professor Watts Word Search: Into The Ocean,2017-07-16,4.99,"20,000 .. 50,000",Ripknot Systems,Ripknot Systems,2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,1,2017.0,23
NOBUNAGA'S AMBITION: Soutenroku with Power Up Kit,2017-12-05,29.99,"20,000 .. 50,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,0,2017.0,5
Coin Pusher,2019-02-13,0.28,"20,000 .. 50,000",RewindApp,RewindApp,2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,1,1,2019.0,11
MineSweep,2018-07-13,0.28,"20,000 .. 50,000",RewindApp,RewindApp,2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,1,2018.0,11
Commands & Colors: The Great War,2017-01-19,19.99,"20,000 .. 50,000",HexWar Games,HexWar Games,2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,0,2017.0,54
Romance of the Three Kingdoms V with Power Up Kit,2017-04-18,19.99,"20,000 .. 50,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,0,2017.0,5
Planet Stronghold,2014-05-05,18.99,"20,000 .. 50,000",Winter Wolves,Winter Wolves,2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,1,0,1,2014.0,47
1775: Rebellion,2016-09-29,24.99,"20,000 .. 50,000",HexWar Games,HexWar Games,2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,0,2016.0,54
Romance of the Three Kingdoms VIII with Power Up Kit,2017-08-29,19.99,"20,000 .. 50,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,0,2017.0,5
Romance of the Three Kingdoms VII with Power Up Kit,2017-07-25,19.99,"20,000 .. 50,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,0,2017.0,5
NOBUNAGA'S AMBITION: Tenkasousei with Power Up Kit,2018-01-16,29.99,"20,000 .. 50,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",2.00E+04,50000.0,20.0K,50.0K,igual,0,0,0,0,1,0,0,0,0,0,2018.0,5
Werewolves Within,2016-12-06,19.99,"0 .. 20,000",Ubisoft,Ubisoft,0.00E+00,20000.0,0,20.0K,igual,0,0,0,0,1,0,0,1,1,0,2016.0,4
Venture Towns,2022-05-22,6.29,"0 .. 20,000","Kairosoft Co.,Ltd","Kairosoft Co.,Ltd",0.00E+00,20000.0,0,20.0K,igual,0,0,0,0,1,0,0,0,1,1,2022.0,52
PLATI NALOG: Favorite Russian Game,2018-03-01,0.99,"0 .. 20,000",CSM,W.T.B.,0.00E+00,20000.0,0,20.0K,distinto,0,0,0,0,1,0,0,1,1,1,2018.0,35
Cafeteria Nipponica,2022-07-03,8.99,"0 .. 20,000","Kairosoft Co.,Ltd","Kairosoft Co.,Ltd",0.00E+00,20000.0,0,20.0K,igual,0,0,0,0,1,0,0,0,1,1,2022.0,52
Pool Slide Story,2022-07-03,10.99,"0 .. 20,000","Kairosoft Co.,Ltd","Kairosoft Co.,Ltd",0.00E+00,20000.0,0,20.0K,igual,0,0,0,0,1,0,0,0,1,1,2022.0,52
Mega Mall Story,2022-07-03,8.99,"0 .. 20,000","Kairosoft Co.,Ltd","Kairosoft Co.,Ltd",0.00E+00,20000.0,0,20.0K,igual,0,0,0,0,1,0,0,0,1,1,2022.0,52
The Manga Works,2022-07-24,8.99,"0 .. 20,000","Kairosoft Co.,Ltd","Kairosoft Co.,Ltd",0.00E+00,20000.0,0,20.0K,igual,0,0,0,0,1,0,0,0,1,1,2022.0,52
Hot Springs Story,2022-03-27,8.99,"0 .. 20,000","Kairosoft Co.,Ltd","Kairosoft Co.,Ltd",0.00E+00,20000.0,0,20.0K,igual,0,0,0,0,1,0,0,0,1,1,2022.0,52
Station Manager,2022-03-27,8.99,"0 .. 20,000","Kairosoft Co.,Ltd","Kairosoft Co.,Ltd",0.00E+00,20000.0,0,20.0K,igual,0,0,0,0,1,0,0,0,1,1,2022.0,52
Luckitown,2022-01-19,4.99,"0 .. 20,000",Sokpop Collective,Sokpop Collective,0.00E+00,20000.0,0,20.0K,igual,0,0,0,0,1,0,0,0,1,1,2022.0,28
Dream House Days DX,2022-03-27,6.29,"0 .. 20,000","Kairosoft Co.,Ltd","Kairosoft Co.,Ltd",0.00E+00,20000.0,0,20.0K,igual,0,0,0,0,1,0,0,0,1,1,2022.0,52
Ninja Village,2022-05-22,6.29,"0 .. 20,000","Kairosoft Co.,Ltd","Kairosoft Co.,Ltd",0.00E+00,20000.0,0,20.0K,igual,0,0,0,0,1,0,0,1,1,1,2022.0,52
The Sushi Spinnery,2022-05-22,8.99,"0 .. 20,000","Kairosoft Co.,Ltd","Kairosoft Co.,Ltd",0.00E+00,20000.0,0,20.0K,igual,0,0,0,0,1,0,0,0,1,1,2022.0,52
篱笆庄秘闻 / Mysteries of Fence,2017-07-27,3.99,"0 .. 20,000",橙光游戏,橙光游戏,0.00E+00,20000.0,0,20.0K,igual,0,1,0,0,1,0,0,1,1,1,2017.0,32
Perverts Society,2018-10-08,0.99,"0 .. 20,000",Racing Bros,ANPA.US,0.00E+00,20000.0,0,20.0K,distinto,0,0,0,0,1,0,0,0,1,1,2018.0,10
Game Of Puzzles: Furry,2019-06-08,0.41,"0 .. 20,000",Snkl Studio,Snkl Studio,0.00E+00,20000.0,0,20.0K,igual,0,0,0,0,1,0,0,1,1,1,2019.0,34
Item Collector - Pirates,2020-07-10,0.99,"0 .. 20,000",Boogygames Studios,Boogygames Studios,0.00E+00,20000.0,0,20.0K,igual,0,1,0,0,1,0,0,1,1,0,2020.0,14
Furries & Scalies: Super Scary Halloween Spooky Times Part II,2021-10-21,9.99,"0 .. 20,000",Stegalosaurus Game Development,Stegalosaurus Game Development,0.00E+00,20000.0,0,20.0K,igual,0,0,0,0,1,0,0,0,0,1,2021.0,25
